salary,price,area,age,rating
67450.71229516849,50.0,88.06370941536787,52,2
57926.03548243223,126.71280704332474,82.5823031325006,44,4
69715.32807151039,517.0501347348591,153.54852975770012,28,5
82845.44784612038,101.36402108545157,81.79837781466921,34,3
56487.69937914996,196.12450543004132,39.004288953650715,48,3
56487.945645762295,302.66077407690193,93.51502129275237,35,3
83688.19223261088,306.4262002438511,152.64915206091933,36,2
71511.52093729364,146.49409407123898,85.58293144593,67,4
52957.88421097572,390.3179731939843,137.02503951917492,55,3
68138.40065378947,99.31160940737072,142.22030552473217,46,1
53048.734607813065,439.0930118519236,154.73512199348056,32,4
53014.05369644615,54.947158706848874,182.51217927285919,24,2
63629.43407349051,65.76093548310205,103.53596487563334,54,5
31300.79633013303,50.0,58.293453032617705,54,3
34126.23251230451,317.5175124566022,84.2173716234212,24,3
51565.68706138541,107.93256838895138,103.4684333795776,39,1
44807.53319498364,52.04363341352225,151.36154978577923,29,3
64713.709988929106,52.73850141857126,32.230761345477696,25,4
46379.638867181835,463.3366842642646,83.68351518477942,35,3
38815.444479970625,359.0530419856884,162.57323877328386,45,5
81984.7315338233,161.277010638127,144.04580956621822,35,3
56613.355492701965,191.48026215603048,154.3957955095529,48,5
61012.92307031886,128.61464265904303,168.00783080466312,34,5
38628.77720679815,99.4064196293572,163.15007220925358,40,3
51834.25913212226,494.14603739799554,145.97113824597227,28,3
61663.83884564799,50.0,104.7424605030004,32,4
42735.09633866546,108.41056119852321,197.21171590928617,47,2
65635.47027518509,84.49028483118401,126.74244325031253,69,4
50990.419651217926,137.89108878308872,64.47076559270266,48,3
55624.593753100846,122.36206196742091,79.77818536781334,23,4
50974.40081655905,146.33167426360654,147.9056175149799,29,1
87784.17276763407,50.0,187.20572608390881,40,4
59797.541628930994,143.9563511283384,60.38242196500258,56,3
44134.3360656615,55.52491419101422,43.998904276783676,57,4
72338.17368154784,50.0,179.86027816714105,53,3
41687.345250434664,50.0,185.59725641518185,52,2
63132.95392507133,287.6460429123472,76.98448870370291,20,5
30604.948141803365,111.52822008275737,94.13857314311078,59,4
40077.20926652354,197.04440853964257,142.23195957463594,45,5
62952.91853803685,260.0918535596214,86.08810354322071,32,3
71076.99869993115,227.46022781275062,179.116980405909,30,3
62570.524217849554,127.16469439915332,48.28837946135666,36,3
58265.27576417639,98.17144156940994,36.45697756323319,57,3
55483.444566160666,94.30813306115043,65.4426551462742,35,1
37822.17014448859,204.35736074944884,78.63492229484473,48,2
49202.33687407937,136.55794293212293,49.197520519108764,54,5
53090.41843560319,378.2703280820505,41.16737298790994,38,3
75856.83339328374,415.4120507622715,158.4533112953057,56,5
65154.27434352692,50.0,57.92701620338375,22,2
33554.397669558995,50.0,185.36677384127168,68,5
64861.25954092192,199.0672889452807,92.55994244617634,34,3
54223.76579375525,71.68550950238902,144.00298765262872,36,4
49846.169995410615,50.0,68.31835951069604,21,3
69175.14433261301,439.00221065116796,70.85487064361736,43,5
75464.99283743926,51.46957301625063,127.70056448748781,41,3
73969.20178674298,529.8072151418952,125.30929727481764,56,3
47411.73715166042,252.7689446043204,160.68396876205384,55,1
55361.81436223178,287.64682754871404,158.8282619680252,63,3
64968.95147105346,50.0,144.01691999282238,36,4
74633.17690683539,53.365392160444955,106.35219620189346,47,2
52812.38643232065,147.32276457610388,181.4088656677049,43,4
57215.115350042746,50.0,135.83834333762078,69,1
43404.97538990958,72.89295339123635,198.33374337860073,28,5
42056.90063878994,77.56309995184166,169.29286904884097,56,5
72187.88733591296,50.0,37.53266791051546,20,3
80343.60042856235,50.0,84.50096420365402,69,2
58919.848176294996,310.7550852839786,127.21887180006179,39,3
75052.99346838036,50.0,152.6498214381528,34,1
65424.54037571451,50.0,123.55720461953005,28,3
50323.203680923136,198.5020785997013,163.64217181857092,64,2
65420.934082626205,745.7996674454083,78.05146096874859,56,3
83070.54849698953,80.45817465219736,61.265048709580256,64,1
59462.60941335073,50.0,39.165836244260916,44,1
83469.6548372101,168.97424657765427,127.46333657715876,66,1
20703.82343865383,473.6471634841372,147.0619185148342,60,3
72328.53756562836,306.55258598665625,85.44545191029147,46,3
61305.706023572566,194.84534934138978,134.30931142549903,29,2
55514.88974301199,75.68378418414503,38.86672924506597,30,3
61376.41164803253,156.12489973719013,46.87986887045662,28,4
30186.46628098661,50.0,149.2983112839447,48,2
56704.92168243732,227.22883049725695,92.57184988694078,28,4
65356.6885726762,258.2666803827605,144.12678528751096,58,3
82168.41067112274,670.6622275234839,171.39259044758606,60,1
52225.94672589529,60.32844165635045,174.94581437093987,53,3
47872.595956602185,50.0,59.26849972895666,19,3
52473.64434623195,157.75920788985775,112.6685472997289,40,4
73731.03176553111,245.37358467972203,154.7675430175227,53,2
64931.266644895266,312.5179989104028,161.57670136537476,31,5
52053.59694349442,50.0,163.39491672390918,54,3
67699.01149670035,60.69532892664263,68.78844684469937,66,3
61456.16324022061,143.73030386176592,62.73091901304147,44,1
74529.67485799333,80.27494003993402,130.30211960652832,29,2
49469.203591839716,393.95460444791433,155.98458561549734,46,3
